#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
            FOXG_00001.2,FOXG_00001.2,UNCHANGED,
            FOXG_00002.2,FOXG_00002.2,CHANGE,SHIFT
            FOXG_00003.2,FOXG_00003.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00004.2,FOXG_00004.2,UNCHANGED,
            FOXG_00005.2,FOXG_00005.2,UNCHANGED,
            FOXG_00006.2,FOXG_00006.2,UNCHANGED,
            FOXG_00007.2,FOXG_00007.2,UNCHANGED,
            FOXG_00008.2,FOXG_00008.2,UNCHANGED,
            FOXG_00009.2,FOXG_00009.2,UNCHANGED,
            FOXG_00010.2,FOXG_00010.2,UNCHANGED,
            FOXG_00011.2,FOXG_00011.2,UNCHANGED,
            FOXG_00012.2,FOXG_00012.2,UNCHANGED,
            FOXG_00013.2,FOXG_00013.2,CHANGE,EVIDENCE_CHANGED
            FOXG_00014.2,FOXG_00014.2,UNCHANGED,
            FOXG_00015.2,FOXG_00015.2,UNCHANGED,
            FOXG_00016.2,FOXG_00016.2,UNCHANGED,
            FOXG_00017.2,FOXG_00017.2,UNCHANGED,
            FOXG_00018.2,FOXG_00018.2,UNCHANGED,
            FOXG_00019.2,FOXG_00019.2,UNCHANGED,
            FOXG_00020.2,FOXG_00020.2,UNCHANGED,
            FOXG_00021.2,FOXG_00021.2,UNCHANGED,
            FOXG_00022.2,FOXG_00022.2,UNCHANGED,
            FOXG_00023.2,FOXG_00023.2,UNCHANGED,
            FOXG_00024.2,FOXG_00024.2,UNCHANGED,
            FOXG_00025.2,FOXG_00025.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00026.2,FOXG_00026.2,UNCHANGED,
            FOXG_00027.2,FOXG_00027.2,UNCHANGED,
            FOXG_00028.2,FOXG_00028.2,UNCHANGED,
            FOXG_00029.2,FOXG_00029.2,UNCHANGED,
            FOXG_00030.2,FOXG_00030.2,UNCHANGED,
            FOXG_00031.2,FOXG_00031.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00032.2,FOXG_00032.2,UNCHANGED,
            FOXG_00033.2,FOXG_00033.2,UNCHANGED,
            FOXG_00034.2,FOXG_00034.2,UNCHANGED,
            FOXG_00035.2,FOXG_00035.2,UNCHANGED,
            FOXG_00036.2,FOXG_00036.2,UNCHANGED,
            FOXG_00037.2,FOXG_00037.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00038.2,FOXG_00038.2,UNCHANGED,
            FOXG_00039.2,FOXG_00039.2,UNCHANGED,
            FOXG_00040.2,FOXG_00040.2,UNCHANGED,
            FOXG_00041.2,FOXG_00041.2,UNCHANGED,
            FOXG_00042.2,FOXG_00042.2,UNCHANGED,
            FOXG_00043.2,FOXG_00043.2,UNCHANGED,
            FOXG_00044.2,FOXG_00044.2,UNCHANGED,
            FOXG_00045.2,FOXG_00045.2,UNCHANGED,
            FOXG_00046.2,FOXG_00046.2,UNCHANGED,
            FOXG_00047.2,FOXG_00047.2,UNCHANGED,
            FOXG_00048.2,FOXG_00048.2,UNCHANGED,
            FOXG_00049.2,FOXG_00049.2,UNCHANGED,
            FOXG_00050.2,FOXG_00050.2,UNCHANGED,
            FOXG_00051.2,FOXG_00051.2,UNCHANGED,
            FOXG_00052.2,FOXG_00052.2,UNCHANGED,
            FOXG_00053.2,FOXG_00053.2,UNCHANGED,
            FOXG_00054.2,FOXG_00054.2,CHANGE,EXTENDED_NEW_STOP
            FOXG_00055.2,FOXG_00055.2,UNCHANGED,
            FOXG_00056.2,FOXG_00056.2,UNCHANGED,
            FOXG_00057.2,FOXG_00057.2,UNCHANGED,
            FOXG_00058.2,FOXG_00058.2,UNCHANGED,
            FOXG_00059.2,FOXG_00059.2,UNCHANGED,
            FOXG_00060.2,FOXG_00060.2,UNCHANGED,
            FOXG_00061.2,FOXG_00061.2,UNCHANGED,
            FOXG_00062.2,FOXG_00062.2,UNCHANGED,
            FOXG_00063.2,FOXG_00063.2,UNCHANGED,
            FOXG_00064.2,FOXG_00064.2,CHANGE,SHIFT
            FOXG_00065.2,FOXG_00065.2,UNCHANGED,
            FOXG_00066.2,FOXG_00066.2,UNCHANGED,
            FOXG_00067.2,FOXG_00067.2,UNCHANGED,
            FOXG_00068.2,FOXG_00068.2,UNCHANGED,
            FOXG_00069.2,FOXG_00069.2,UNCHANGED,
            FOXG_00070.2,FOXG_00070.2,UNCHANGED,
            FOXG_00071.2,FOXG_00071.2,UNCHANGED,
            FOXG_00072.2,FOXG_00072.2,UNCHANGED,
            FOXG_00073.2,FOXG_00073.2,UNCHANGED,
            FOXG_00074.2,FOXG_00074.2,UNCHANGED,
            FOXG_00075.2,FOXG_00075.2,UNCHANGED,
            FOXG_00076.2,,DELETE,
            FOXG_00077.2,FOXG_00077.2,UNCHANGED,
            FOXG_00078.2,FOXG_00078.2,UNCHANGED,
            FOXG_00079.2,FOXG_00079.2,UNCHANGED,
            FOXG_00080.2,FOXG_00080.2,UNCHANGED,
            FOXG_00081.2,FOXG_00081.2,UNCHANGED,
            FOXG_00082.2,FOXG_00082.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00083.2,FOXG_00083.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00084.2,,DELETE,
            FOXG_00085.2,FOXG_00085.2,UNCHANGED,
            FOXG_00086.2,FOXG_00086.2,UNCHANGED,
            FOXG_00087.2,FOXG_00087.2,UNCHANGED,
            FOXG_00088.2,FOXG_00088.2,UNCHANGED,
            FOXG_00089.2,FOXG_00089.2,UNCHANGED,
            FOXG_00090.2,FOXG_00090.2,UNCHANGED,
            FOXG_00091.2,FOXG_00091.2,UNCHANGED,
            FOXG_00092.2,FOXG_00092.2,UNCHANGED,
            FOXG_00093.2,FOXG_00093.2,UNCHANGED,
            FOXG_00094.2,FOXG_00094.2,UNCHANGED,
            FOXG_00095.2,FOXG_00095.2,CHANGE,SHIFT
            FOXG_00096.2,FOXG_00096.2,UNCHANGED,
            FOXG_00097.2,FOXG_00097.2,UNCHANGED,
            FOXG_00098.2,FOXG_00098.2,UNCHANGED,
            FOXG_00099.2,FOXG_00099.2,UNCHANGED,
            FOXG_00100.2,FOXG_00100.2,UNCHANGED,
            FOXG_00101.2,FOXG_00101.2,UNCHANGED,
            FOXG_00102.2,FOXG_00102.2,UNCHANGED,
            FOXG_00103.2,FOXG_00103.2,UNCHANGED,
            FOXG_00104.2,FOXG_00104.2,UNCHANGED,
            FOXG_00105.2,FOXG_00105.2,UNCHANGED,
            FOXG_00106.2,FOXG_00106.2,UNCHANGED,
            FOXG_00107.2,FOXG_00107.2,UNCHANGED,
            FOXG_00108.2,FOXG_00108.2,UNCHANGED,
            FOXG_00109.2,FOXG_00109.2,UNCHANGED,
            FOXG_00110.2,FOXG_00110.2,UNCHANGED,
            FOXG_00111.2,FOXG_00111.2,CHANGE,TRUNCATED_NEW_STOP
            FOXG_00112.2,FOXG_00112.2,UNCHANGED,
            FOXG_00113.2,FOXG_00113.2,UNCHANGED,
