#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
            FGSG_00001.3,FGSG_00001.2,UNCHANGED,
            FGSG_00002.3,FGSG_00002.2,UNCHANGED,
            FGSG_00003.3,FGSG_00003.2,UNCHANGED,
            FGSG_00004.3,FGSG_00004.2,UNCHANGED,
            FGSG_00005.3,FGSG_00005.2,UNCHANGED,
            FGSG_00006.3,FGSG_00006.2,UNCHANGED,
            FGSG_00007.3,FGSG_00007.2,UNCHANGED,
            FGSG_00009.3,FGSG_00009.2,UNCHANGED,
            FGSG_00010.3,FGSG_00010.2,UNCHANGED,
            FGSG_00011.3,FGSG_00011.2,UNCHANGED,
            FGSG_00012.3,FGSG_00012.2,UNCHANGED,
            FGSG_00013.3,FGSG_00013.2,UNCHANGED,
            FGSG_00014.3,FGSG_00014.2,UNCHANGED,
            FGSG_00015.3,FGSG_00015.2,UNCHANGED,
            FGSG_00016.3,FGSG_00016.2,UNCHANGED,
            FGSG_00017.3,FGSG_00017.2,UNCHANGED,
            FGSG_00018.3,FGSG_00018.2,UNCHANGED,
            FGSG_00019.3,FGSG_00019.2,UNCHANGED,
            FGSG_00020.3,FGSG_00020.2,UNCHANGED,
            FGSG_00021.3,FGSG_00021.2,UNCHANGED,
            FGSG_00023.3,FGSG_00023.2,UNCHANGED,
            FGSG_00024.3,FGSG_00024.2,UNCHANGED,
            FGSG_00025.3,FGSG_00025.2,UNCHANGED,
            FGSG_00026.3,FGSG_00026.2,UNCHANGED,
            FGSG_00027.3,FGSG_00027.2,UNCHANGED,
            FGSG_00028.3,FGSG_00028.2,UNCHANGED,
            FGSG_00029.3,FGSG_00029.2,UNCHANGED,
            FGSG_00030.3,FGSG_00030.2,UNCHANGED,
            FGSG_00031.3,FGSG_00031.2,UNCHANGED,
            FGSG_00032.3,FGSG_00032.2,UNCHANGED,
            FGSG_00033.3,FGSG_00033.2,UNCHANGED,
            FGSG_00034.3,FGSG_00034.2,UNCHANGED,
