#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
            FVEG_00001.3,FVEG_00001.2,UNCHANGED,
            FVEG_00002.3,FVEG_00002.2,UNCHANGED,
            FVEG_00003.3,FVEG_00003.2,UNCHANGED,
            FVEG_00004.3,FVEG_00004.2,UNCHANGED,
            FVEG_00005.3,FVEG_00005.2,UNCHANGED,
            FVEG_00006.3,FVEG_00006.2,UNCHANGED,
            FVEG_00007.3,FVEG_00007.2,UNCHANGED,
            FVEG_00008.3,FVEG_00008.2,UNCHANGED,
            FVEG_00009.3,FVEG_00009.2,UNCHANGED,
            FVEG_00010.3,FVEG_00010.2,UNCHANGED,
            FVEG_00011.3,FVEG_00011.2,UNCHANGED,
            FVEG_00012.3,FVEG_00012.2,UNCHANGED,
            FVEG_00013.3,FVEG_00013.2,UNCHANGED,
            FVEG_00014.3,FVEG_00014.2,UNCHANGED,
            FVEG_00015.3,FVEG_00015.2,UNCHANGED,
            FVEG_00016.3,FVEG_00016.2,UNCHANGED,
            FVEG_00017.3,FVEG_00017.2,UNCHANGED,
            FVEG_00018.3,FVEG_00018.2,UNCHANGED,
            FVEG_00019.3,FVEG_00019.2,UNCHANGED,
            FVEG_00020.3,FVEG_00020.2,UNCHANGED,
            FVEG_00021.3,FVEG_00021.2,UNCHANGED,
            FVEG_00022.3,FVEG_00022.2,UNCHANGED,
            FVEG_00023.3,FVEG_00023.2,UNCHANGED,
            FVEG_00024.3,FVEG_00024.2,UNCHANGED,
            FVEG_00025.3,FVEG_00025.2,UNCHANGED,
            FVEG_00026.3,FVEG_00026.2,UNCHANGED,
            FVEG_00027.3,FVEG_00027.2,UNCHANGED,
            FVEG_00028.3,FVEG_00028.2,UNCHANGED,
            FVEG_00029.3,FVEG_00029.2,UNCHANGED,
            FVEG_00030.3,FVEG_00030.2,UNCHANGED,
            FVEG_00031.3,FVEG_00031.2,UNCHANGED,
            FVEG_00032.3,FVEG_00032.2,UNCHANGED,
            FVEG_00033.3,FVEG_00033.2,UNCHANGED,
            FVEG_00034.3,FVEG_00034.2,UNCHANGED,
            FVEG_00035.3,FVEG_00035.2,UNCHANGED,
            FVEG_00036.3,FVEG_00036.2,UNCHANGED,
            FVEG_00037.3,FVEG_00037.2,UNCHANGED,
            FVEG_00038.3,FVEG_00038.2,UNCHANGED,
            FVEG_00039.3,FVEG_00039.2,UNCHANGED,
            FVEG_00040.3,FVEG_00040.2,UNCHANGED,
            FVEG_00041.3,FVEG_00041.2,UNCHANGED,
            FVEG_00042.3,FVEG_00042.2,UNCHANGED,
            FVEG_00043.3,FVEG_00043.2,UNCHANGED,
            FVEG_00044.3,FVEG_00044.2,UNCHANGED,
            FVEG_00045.3,FVEG_00045.2,UNCHANGED,
            FVEG_00046.3,FVEG_00046.2,UNCHANGED,
            FVEG_00047.3,FVEG_00047.2,UNCHANGED,
            FVEG_00048.3,FVEG_00048.2,UNCHANGED,
            FVEG_00049.3,FVEG_00049.2,UNCHANGED,
            FVEG_00050.3,FVEG_00050.2,UNCHANGED,
            FVEG_00051.3,FVEG_00051.2,UNCHANGED,
            FVEG_00052.3,FVEG_00052.2,CHANGE,TRUNCATED_NEW_STOP
            FVEG_00053.3,FVEG_00053.2,UNCHANGED,
            FVEG_00054.3,FVEG_00054.2,UNCHANGED,
            FVEG_00055.3,FVEG_00055.2,UNCHANGED,
            FVEG_00056.3,FVEG_00056.2,UNCHANGED,
            FVEG_00057.3,FVEG_00057.2,UNCHANGED,
            FVEG_00058.3,FVEG_00058.2,UNCHANGED,
            FVEG_00059.3,FVEG_00059.2,UNCHANGED,
            FVEG_00060.3,FVEG_00060.2,UNCHANGED,
            FVEG_00061.3,FVEG_00061.2,UNCHANGED,
            FVEG_00062.3,FVEG_00062.2,UNCHANGED,
            FVEG_00063.3,FVEG_00063.2,UNCHANGED,
            FVEG_00064.3,FVEG_00064.2,UNCHANGED,
            FVEG_00065.3,FVEG_00065.2,UNCHANGED,
            FVEG_00066.3,FVEG_00066.2,UNCHANGED,
            FVEG_00067.3,FVEG_00067.2,UNCHANGED,
            FVEG_00068.3,FVEG_00068.2,UNCHANGED,
            FVEG_00069.3,FVEG_00069.2,UNCHANGED,
            FVEG_00070.3,FVEG_00070.2,UNCHANGED,
            FVEG_00071.3,FVEG_00071.2,UNCHANGED,
            FVEG_00072.3,FVEG_00072.2,UNCHANGED,
            FVEG_00073.3,FVEG_00073.2,UNCHANGED,
            FVEG_00074.3,FVEG_00074.2,UNCHANGED,
            FVEG_00075.3,FVEG_00075.2,UNCHANGED,
            FVEG_00076.3,FVEG_00076.2,UNCHANGED,
            FVEG_00077.3,FVEG_00077.2,UNCHANGED,
            FVEG_00078.3,FVEG_00078.2,UNCHANGED,
            FVEG_00079.3,FVEG_00079.2,UNCHANGED,
            FVEG_00080.3,FVEG_00080.2,UNCHANGED,
            FVEG_00081.3,FVEG_00081.2,UNCHANGED,
            FVEG_00082.3,FVEG_00082.2,UNCHANGED,
            FVEG_00083.3,FVEG_00083.2,UNCHANGED,
            FVEG_00084.3,FVEG_00084.2,UNCHANGED,
            FVEG_00085.3,FVEG_00085.2,UNCHANGED,
            FVEG_00086.3,FVEG_00086.2,UNCHANGED,
            FVEG_00087.3,FVEG_00087.2,UNCHANGED,
            FVEG_00088.3,FVEG_00088.2,UNCHANGED,
            FVEG_00089.3,FVEG_00089.2,UNCHANGED,
            FVEG_00090.3,FVEG_00090.2,UNCHANGED,
            FVEG_00091.3,FVEG_00091.2,UNCHANGED,
            FVEG_00092.3,FVEG_00092.2,UNCHANGED,
            FVEG_00093.3,FVEG_00093.2,UNCHANGED,
            FVEG_00094.3,FVEG_00094.2,UNCHANGED,
            FVEG_00095.3,FVEG_00095.2,UNCHANGED,
            FVEG_00096.3,FVEG_00096.2,UNCHANGED,
            FVEG_00097.3,FVEG_00097.2,UNCHANGED,
            FVEG_00098.3,FVEG_00098.2,UNCHANGED,
            FVEG_00099.3,FVEG_00099.2,UNCHANGED,
            FVEG_00100.3,FVEG_00100.2,UNCHANGED,
            FVEG_00101.3,FVEG_00101.2,UNCHANGED,
            FVEG_00102.3,FVEG_00102.2,UNCHANGED,
            FVEG_00103.3,FVEG_00103.2,UNCHANGED,
            FVEG_00104.3,FVEG_00104.2,UNCHANGED,
            FVEG_00105.3,FVEG_00105.2,UNCHANGED,
            FVEG_00106.3,FVEG_00106.2,UNCHANGED,
            FVEG_00107.3,FVEG_00107.2,UNCHANGED,
            FVEG_00108.3,FVEG_00108.2,UNCHANGED,
            FVEG_00109.3,FVEG_00109.2,UNCHANGED,
            FVEG_00110.3,FVEG_00110.2,UNCHANGED,
            FVEG_00111.3,FVEG_00111.2,UNCHANGED,
            FVEG_00112.3,FVEG_00112.2,UNCHANGED,
            FVEG_00113.3,FVEG_00113.2,UNCHANGED,
            FVEG_00114.3,FVEG_00114.2,UNCHANGED,
            FVEG_00115.3,FVEG_00115.2,UNCHANGED,
            FVEG_00116.3,FVEG_00116.2,UNCHANGED,
            FVEG_00117.3,FVEG_00117.2,UNCHANGED,
            FVEG_00118.3,FVEG_00118.2,UNCHANGED,
            FVEG_00119.3,FVEG_00119.2,UNCHANGED,
            FVEG_00120.3,FVEG_00120.2,UNCHANGED,
            FVEG_00121.3,FVEG_00121.2,UNCHANGED,
            FVEG_00122.3,FVEG_00122.2,UNCHANGED,
            FVEG_00123.3,FVEG_00123.2,UNCHANGED,
            FVEG_00124.3,FVEG_00124.2,UNCHANGED,
            FVEG_00125.3,FVEG_00125.2,UNCHANGED,
            FVEG_00126.3,FVEG_00126.2,UNCHANGED,
            FVEG_00127.3,FVEG_00127.2,UNCHANGED,
            FVEG_00128.3,FVEG_00128.2,UNCHANGED,
            FVEG_00129.3,FVEG_00129.2,UNCHANGED,
            FVEG_00130.3,FVEG_00130.2,UNCHANGED,
            FVEG_00131.3,FVEG_00131.2,UNCHANGED,
            FVEG_00132.3,FVEG_00132.2,UNCHANGED,
            FVEG_00133.3,FVEG_00133.2,UNCHANGED,
            FVEG_00134.3,FVEG_00134.2,UNCHANGED,
            FVEG_00135.3,FVEG_00135.2,UNCHANGED,
            FVEG_00136.3,FVEG_00136.2,UNCHANGED,
            FVEG_00137.3,FVEG_00137.2,UNCHANGED,
            FVEG_00138.3,FVEG_00138.2,UNCHANGED,
            FVEG_00139.3,FVEG_00139.2,UNCHANGED,
            FVEG_00140.3,FVEG_00140.2,UNCHANGED,
            FVEG_00141.3,FVEG_00141.2,UNCHANGED,
            FVEG_00142.3,FVEG_00142.2,UNCHANGED,
            FVEG_00143.3,FVEG_00143.2,UNCHANGED,
            FVEG_00144.3,FVEG_00144.2,UNCHANGED,
            FVEG_00145.3,FVEG_00145.2,UNCHANGED,
            FVEG_00146.3,FVEG_00146.2,UNCHANGED,
            FVEG_00147.3,FVEG_00147.2,UNCHANGED,
            FVEG_00148.3,FVEG_00148.2,UNCHANGED,
            FVEG_00149.3,FVEG_00149.2,UNCHANGED,
            FVEG_00150.3,FVEG_00150.2,UNCHANGED,
            FVEG_00151.3,FVEG_00151.2,UNCHANGED,
            FVEG_00152.3,FVEG_00152.2,UNCHANGED,
            FVEG_00153.3,FVEG_00153.2,UNCHANGED,
            FVEG_00154.3,FVEG_00154.2,UNCHANGED,
            FVEG_00155.3,FVEG_00155.2,UNCHANGED,
            FVEG_00156.3,FVEG_00156.2,UNCHANGED,
            FVEG_00157.3,FVEG_00157.2,UNCHANGED,
            FVEG_00158.3,FVEG_00158.2,UNCHANGED,
            FVEG_00159.3,FVEG_00159.2,UNCHANGED,
            FVEG_00160.3,FVEG_00160.2,UNCHANGED,
            FVEG_00161.3,FVEG_00161.2,UNCHANGED,
            FVEG_00162.3,FVEG_00162.2,UNCHANGED,
            FVEG_00163.3,FVEG_00163.2,UNCHANGED,
            FVEG_00164.3,FVEG_00164.2,UNCHANGED,
            FVEG_00165.3,FVEG_00165.2,UNCHANGED,
            FVEG_00166.3,FVEG_00166.2,UNCHANGED,
            FVEG_00167.3,FVEG_00167.2,UNCHANGED,
            FVEG_00168.3,FVEG_00168.2,UNCHANGED,
            FVEG_00169.3,FVEG_00169.2,UNCHANGED,
            FVEG_00170.3,FVEG_00170.2,UNCHANGED,
            FVEG_00171.3,FVEG_00171.2,UNCHANGED,
            FVEG_00172.3,FVEG_00172.2,UNCHANGED,
            FVEG_00173.3,FVEG_00173.2,UNCHANGED,
            FVEG_00174.3,FVEG_00174.2,UNCHANGED,
            FVEG_00175.3,FVEG_00175.2,UNCHANGED,
            FVEG_00176.3,FVEG_00176.2,UNCHANGED,
            FVEG_00177.3,FVEG_00177.2,UNCHANGED,
            FVEG_00178.3,FVEG_00178.2,UNCHANGED,
            FVEG_00179.3,FVEG_00179.2,UNCHANGED,
            FVEG_00180.3,FVEG_00180.2,UNCHANGED,
            FVEG_00181.3,FVEG_00181.2,UNCHANGED,
            FVEG_00182.3,FVEG_00182.2,UNCHANGED,
            FVEG_00183.3,FVEG_00183.2,UNCHANGED,
            FVEG_00184.3,FVEG_00184.2,UNCHANGED,
            FVEG_00185.3,FVEG_00185.2,UNCHANGED,
            FVEG_00186.3,FVEG_00186.2,UNCHANGED,
            FVEG_00187.3,FVEG_00187.2,UNCHANGED,
            FVEG_00188.3,FVEG_00188.2,UNCHANGED,
            FVEG_00189.3,FVEG_00189.2,UNCHANGED,
            FVEG_00190.3,FVEG_00190.2,UNCHANGED,
            FVEG_00191.3,FVEG_00191.2,UNCHANGED,
            FVEG_00192.3,FVEG_00192.2,UNCHANGED,
            FVEG_00193.3,FVEG_00193.2,UNCHANGED,
            FVEG_00194.3,FVEG_00194.2,UNCHANGED,
            FVEG_00195.3,FVEG_00195.2,UNCHANGED,
            FVEG_00196.3,FVEG_00196.2,UNCHANGED,
            FVEG_00197.3,FVEG_00197.2,UNCHANGED,
            FVEG_00198.3,FVEG_00198.2,UNCHANGED,
            FVEG_00199.3,FVEG_00199.2,UNCHANGED,
            FVEG_00200.3,FVEG_00200.2,UNCHANGED,
            FVEG_00201.3,FVEG_00201.2,UNCHANGED,
            FVEG_00202.3,FVEG_00202.2,UNCHANGED,
            FVEG_00203.3,FVEG_00203.2,UNCHANGED,
            FVEG_00204.3,FVEG_00204.2,UNCHANGED,
            FVEG_00205.3,FVEG_00205.2,UNCHANGED,
            FVEG_00206.3,FVEG_00206.2,UNCHANGED,
            FVEG_00207.3,FVEG_00207.2,UNCHANGED,
            FVEG_00208.3,FVEG_00208.2,UNCHANGED,
            FVEG_00209.3,FVEG_00209.2,UNCHANGED,
            FVEG_00210.3,FVEG_00210.2,UNCHANGED,
            FVEG_00211.3,FVEG_00211.2,UNCHANGED,
            FVEG_00212.3,FVEG_00212.2,UNCHANGED,
            FVEG_00213.3,FVEG_00213.2,UNCHANGED,
            FVEG_00214.3,FVEG_00214.2,UNCHANGED,
            FVEG_00215.3,FVEG_00215.2,UNCHANGED,
            FVEG_00216.3,FVEG_00216.2,UNCHANGED,
            FVEG_00217.3,FVEG_00217.2,UNCHANGED,
            FVEG_00218.3,FVEG_00218.2,UNCHANGED,
            FVEG_00219.3,FVEG_00219.2,UNCHANGED,
            FVEG_00220.3,FVEG_00220.2,UNCHANGED,
            FVEG_00221.3,FVEG_00221.2,UNCHANGED,
            FVEG_00222.3,FVEG_00222.2,UNCHANGED,
            FVEG_00223.3,FVEG_00223.2,UNCHANGED,
            FVEG_00224.3,FVEG_00224.2,UNCHANGED,
            FVEG_00225.3,FVEG_00225.2,UNCHANGED,
            FVEG_00226.3,FVEG_00226.2,UNCHANGED,
            FVEG_00227.3,FVEG_00227.2,UNCHANGED,
            FVEG_00228.3,FVEG_00228.2,UNCHANGED,
            FVEG_00229.3,FVEG_00229.2,UNCHANGED,
            FVEG_00230.3,FVEG_00230.2,UNCHANGED,
            FVEG_00231.3,FVEG_00231.2,UNCHANGED,
            FVEG_00232.3,FVEG_00232.2,UNCHANGED,
            FVEG_00233.3,FVEG_00233.2,UNCHANGED,
            FVEG_00234.3,FVEG_00234.2,UNCHANGED,
            FVEG_00235.3,FVEG_00235.2,UNCHANGED,
            FVEG_00236.3,FVEG_00236.2,UNCHANGED,
            FVEG_00237.3,FVEG_00237.2,UNCHANGED,
            FVEG_00238.3,FVEG_00238.2,UNCHANGED,
            FVEG_00239.3,FVEG_00239.2,UNCHANGED,
            FVEG_00240.3,FVEG_00240.2,UNCHANGED,
            FVEG_00241.3,,DELETE,
            FVEG_00242.3,FVEG_00242.2,UNCHANGED,
            FVEG_00243.3,FVEG_00243.2,UNCHANGED,
            FVEG_00244.3,FVEG_00244.2,UNCHANGED,
            FVEG_00245.3,FVEG_00245.2,UNCHANGED,
            FVEG_00246.3,FVEG_00246.2,UNCHANGED,
            FVEG_00247.3,FVEG_00247.2,UNCHANGED,
            FVEG_00248.3,FVEG_00248.2,UNCHANGED,
            FVEG_00249.3,FVEG_00249.2,UNCHANGED,
            FVEG_00250.3,FVEG_00250.2,UNCHANGED,
            FVEG_00251.3,FVEG_00251.2,UNCHANGED,
            FVEG_00252.3,FVEG_00252.2,UNCHANGED,
            FVEG_00253.3,FVEG_00253.2,UNCHANGED,
            FVEG_00254.3,FVEG_00254.2,UNCHANGED,
            FVEG_00255.3,FVEG_00255.2,UNCHANGED,
            FVEG_00256.3,FVEG_00256.2,UNCHANGED,
            FVEG_00257.3,FVEG_00257.2,UNCHANGED,
            FVEG_00258.3,FVEG_00258.2,UNCHANGED,
            FVEG_00259.3,FVEG_00259.2,UNCHANGED,
            FVEG_00260.3,FVEG_00260.2,UNCHANGED,
            FVEG_00261.3,FVEG_00261.2,UNCHANGED,
            FVEG_00262.3,FVEG_00262.2,UNCHANGED,
            FVEG_00263.3,FVEG_00263.2,UNCHANGED,
            FVEG_00264.3,FVEG_00264.2,UNCHANGED,
            FVEG_00265.3,FVEG_00265.2,UNCHANGED,
            FVEG_00266.3,FVEG_00266.2,UNCHANGED,
            FVEG_00267.3,FVEG_00267.2,UNCHANGED,
            FVEG_00268.3,FVEG_00268.2,UNCHANGED,
            FVEG_00269.3,FVEG_00269.2,UNCHANGED,
            FVEG_00270.3,FVEG_00270.2,UNCHANGED,
            FVEG_00271.3,FVEG_00271.2,UNCHANGED,
            FVEG_00272.3,FVEG_00272.2,UNCHANGED,
            FVEG_00273.3,FVEG_00273.2,UNCHANGED,
            FVEG_00274.3,FVEG_00274.2,UNCHANGED,
            FVEG_00275.3,FVEG_00275.2,UNCHANGED,
            FVEG_00276.3,FVEG_00276.2,UNCHANGED,
            FVEG_00277.3,FVEG_00277.2,UNCHANGED,
            FVEG_00278.3,FVEG_00278.2,UNCHANGED,
            FVEG_00279.3,FVEG_00279.2,UNCHANGED,
            FVEG_00280.3,FVEG_00280.2,UNCHANGED,
            FVEG_00281.3,FVEG_00281.2,UNCHANGED,
            FVEG_00282.3,FVEG_00282.2,UNCHANGED,
            FVEG_00283.3,FVEG_00283.2,UNCHANGED,
            FVEG_00284.3,FVEG_00284.2,UNCHANGED,
            FVEG_00285.3,FVEG_00285.2,UNCHANGED,
            FVEG_00286.3,FVEG_00286.2,UNCHANGED,
            FVEG_00287.3,FVEG_00287.2,UNCHANGED,
            FVEG_00288.3,FVEG_00288.2,UNCHANGED,
            FVEG_00289.3,FVEG_00289.2,UNCHANGED,
            FVEG_00290.3,FVEG_00290.2,UNCHANGED,
            FVEG_00291.3,FVEG_00291.2,UNCHANGED,
            FVEG_00292.3,FVEG_00292.2,UNCHANGED,
            FVEG_00293.3,FVEG_00293.2,UNCHANGED,
            FVEG_00294.3,FVEG_00294.2,UNCHANGED,
            FVEG_00295.3,FVEG_00295.2,UNCHANGED,
            FVEG_00296.3,FVEG_00296.2,UNCHANGED,
            FVEG_00297.3,FVEG_00297.2,UNCHANGED,
            FVEG_00298.3,FVEG_00298.2,UNCHANGED,
            FVEG_00299.3,FVEG_00299.2,UNCHANGED,
            FVEG_00300.3,FVEG_00300.2,UNCHANGED,
            FVEG_00301.3,FVEG_00301.2,UNCHANGED,
            FVEG_00302.3,FVEG_00302.2,UNCHANGED,
            FVEG_00303.3,FVEG_00303.2,UNCHANGED,
            FVEG_00304.3,FVEG_00304.2,UNCHANGED,
            FVEG_00305.3,FVEG_00305.2,UNCHANGED,
            FVEG_00306.3,FVEG_00306.2,UNCHANGED,
            FVEG_00307.3,FVEG_00307.2,UNCHANGED,
            FVEG_00308.3,FVEG_00308.2,UNCHANGED,
            FVEG_00309.3,FVEG_00309.2,UNCHANGED,
            FVEG_00310.3,FVEG_00310.2,UNCHANGED,
            FVEG_00311.3,FVEG_00311.2,UNCHANGED,
            FVEG_00312.3,FVEG_00312.2,UNCHANGED,
            FVEG_00313.3,FVEG_00313.2,UNCHANGED,
            FVEG_00314.3,FVEG_00314.2,UNCHANGED,
            FVEG_00315.3,FVEG_00315.2,UNCHANGED,
            FVEG_00316.3,FVEG_00316.2,UNCHANGED,
            FVEG_00317.3,FVEG_00317.2,UNCHANGED,
            FVEG_00318.3,FVEG_00318.2,UNCHANGED,
            FVEG_00319.3,FVEG_00319.2,UNCHANGED,
            FVEG_00320.3,FVEG_00320.2,UNCHANGED,
            FVEG_00321.3,FVEG_00321.2,UNCHANGED,
            FVEG_00322.3,FVEG_00322.2,UNCHANGED,
            FVEG_00323.3,FVEG_00323.2,UNCHANGED,
            FVEG_00324.3,FVEG_00324.2,UNCHANGED,
            FVEG_00325.3,FVEG_00325.2,UNCHANGED,
            FVEG_00326.3,FVEG_00326.2,UNCHANGED,
            FVEG_00327.3,FVEG_00327.2,UNCHANGED,
            FVEG_00328.3,FVEG_00328.2,UNCHANGED,
            FVEG_00329.3,FVEG_00329.2,UNCHANGED,
            FVEG_00330.3,FVEG_00330.2,UNCHANGED,
            FVEG_00331.3,FVEG_00331.2,UNCHANGED,
            FVEG_00332.3,FVEG_00332.2,UNCHANGED,
            FVEG_00333.3,FVEG_00333.2,UNCHANGED,
            FVEG_00334.3,FVEG_00334.2,UNCHANGED,
            FVEG_00335.3,FVEG_00335.2,UNCHANGED,
            FVEG_00336.3,FVEG_00336.2,UNCHANGED,
            FVEG_00337.3,FVEG_00337.2,UNCHANGED,
            FVEG_00338.3,FVEG_00338.2,UNCHANGED,
            FVEG_00339.3,FVEG_00339.2,UNCHANGED,
            FVEG_00340.3,FVEG_00340.2,UNCHANGED,
            FVEG_00341.3,FVEG_00341.2,UNCHANGED,
            FVEG_00342.3,FVEG_00342.2,UNCHANGED,
            FVEG_00343.3,FVEG_00343.2,UNCHANGED,
            FVEG_00344.3,FVEG_00344.2,UNCHANGED,
            FVEG_00345.3,FVEG_00345.2,UNCHANGED,
            FVEG_00346.3,FVEG_00346.2,UNCHANGED,
            FVEG_00347.3,FVEG_00347.2,UNCHANGED,
            FVEG_00348.3,FVEG_00348.2,UNCHANGED,
            FVEG_00349.3,FVEG_00349.2,UNCHANGED,
            FVEG_00350.3,FVEG_00350.2,UNCHANGED,
            FVEG_00351.3,FVEG_00351.2,UNCHANGED,
            FVEG_00352.3,FVEG_00352.2,UNCHANGED,
            FVEG_00353.3,FVEG_00353.2,UNCHANGED,
            FVEG_00354.3,FVEG_00354.2,UNCHANGED,
            FVEG_00355.3,FVEG_00355.2,UNCHANGED,
            FVEG_00356.3,FVEG_00356.2,UNCHANGED,
            FVEG_00357.3,FVEG_00357.2,UNCHANGED,
            FVEG_00358.3,FVEG_00358.2,UNCHANGED,
            FVEG_00359.3,FVEG_00359.2,UNCHANGED,
